Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Kiribati,KIR,0.590225966,0.588252174,0.586499353,0.58697847,0.588684076,0.589960648,0.583783165,0.577410132,0.526412623,0.527751756,0.529231433,0.557636311,0.558229607,0.578324226,0.593876817,0.554114469,0.526440169,0.526440169
Korea: Democratic People's Republic of,PRK,0.421453508,0.424286011,0.425470704,0.424528937,0.421398635,0.416427232,0.410261672,0.403950864,0.398271521,0.394348338,0.391473447,0.390656813,0.390238348,0.389818544,0.389273128,0.388520397,0.387802836,0.387802836
Korea: Republic of,KOR,0.329269994,0.326467772,0.324998884,0.321743004,0.319820457,0.318167016,0.315180943,0.312180642,0.309747008,0.289460041,0.285110552,0.280965463,0.277341512,0.273374473,0.271439221,0.270157627,0.269157627,0.269157627
Kuwait,KWT,0.207903079,0.206800761,0.205718603,0.206579943,0.207454695,0.20834457,0.209251631,0.208043732,0.206844208,0.205649724,0.204448734,0.202912022,0.201344011,0.199741363,0.198102457,0.197830542,0.197418509,0.197418509
Kyrgyzstan,KGZ,0.212021568,0.213015097,0.228560964,0.208349543,0.220169503,0.211140857,0.211685926,0.21427992,0.226735226,0.241605657,0.228498062,0.234242754,0.228264213,0.22742814,0.225906161,0.224405312,0.218846462,0.218846462
Laos,LAO,0.638261056,0.657426405,0.668784372,0.651331868,0.666040673,0.661007933,0.615760358,0.605897672,0.588943113,0.586142158,0.571672757,0.572083485,0.552602019,0.547536911,0.5442242,0.548052868,0.538121589,0.538121589
Latvia,LVA,0.31362901,0.305189775,0.303486149,0.30422588,0.299878682,0.29715965,0.299282515,0.297709457,0.295788936,0.292355385,0.293765364,0.294891454,0.295407951,0.293056903,0.293427611,0.294660106,0.294351163,0.294351163
Lebanon,LBN,0.223739257,0.225245363,0.222171213,0.217653889,0.213303631,0.208819229,0.204291875,0.206420003,0.208537215,0.21036644,0.212826389,0.198181911,0.199756991,0.189530024,0.187187779,0.184829827,0.184273632,0.184273632
Lesotho,LSO,0.603166196,0.605010294,0.609361749,0.617136441,0.624977461,0.629876327,0.637746931,0.63775147,0.650621488,0.647826922,0.650754286,0.639801968,0.632993185,0.63648894,0.643885516,0.630771127,0.640415204,0.640415204
Liberia,LBR,0.68570507,0.684438159,0.682530598,0.679985883,0.689821835,0.67276404,0.674586698,0.670377276,0.689360388,0.676355651,0.689818805,0.673214149,0.730470113,0.706948823,0.735134595,0.694549391,0.717537048,0.717537048
Libyan Arab Jamahiriya,LBY,0.217472581,0.215452256,0.213586403,0.21199105,0.210586673,0.209351726,0.208514506,0.207737043,0.206964539,0.20617537,0.200875129,0.195523981,0.190256873,0.184992555,0.181713787,0.17991922,0.17809088,0.17809088
Lithuania,LTU,0.27650084,0.272230293,0.269109937,0.268139139,0.266497314,0.269600117,0.270378624,0.270046098,0.270099626,0.268293477,0.273579911,0.273333236,0.274807804,0.275606533,0.273155228,0.272955312,0.271971572,0.271971572
Luxembourg,LUX,0.133171803,0.13180531,0.129259955,0.128795901,0.124941604,0.124591371,0.124822454,0.123086057,0.122617953,0.117636027,0.110138655,0.104227909,0.12213971,0.142713371,0.155390507,0.174125879,0.061218887,0.061218887
Madagascar,MDG,0.569557401,0.557189257,0.541148406,0.536768598,0.542485448,0.532429707,0.539099969,0.531264493,0.530875441,0.522758375,0.518893485,0.51108262,0.471108618,0.46533512,0.459875048,0.442634396,0.455409369,0.455409369
